DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2020-0009-AFG,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,GLIDE:CW-2020-000008,,AFG,Afghanistan,Southern Asia,Asia,"Helmand, Kandahar, Zabul, Uruzgan, Laghman, Herat, Badghis, Ghor, Daykundi, Bamyan, Baghlan provinces",,Cold wave|Snow/ice,No,No,No,,,Kph,,,,2020,1,12,2020,1,15,13,40,7441,,7481,,,,,,,84.93919813,"[{""adm1_code"":273,""adm1_name"":""Badghis""},{""adm1_code"":274,""adm1_name"":""Baghlan""},{""adm1_code"":276,""adm1_name"":""Bamyan""},{""adm1_code"":280,""adm1_name"":""Ghor""},{""adm1_code"":281,""adm1_name"":""Hilmand""},{""adm1_code"":282,""adm1_name"":""Hirat""},{""adm1_code"":285,""adm1_name"":""Kandahar""},{""adm1_code"":290,""adm1_name"":""Laghman""},{""adm1_code"":303,""adm1_name"":""Zabul""},{""adm1_code"":99878,""adm1_name"":""Daykundi""},{""adm1_code"":99881,""adm1_name"":""Uruzgan""}]",2020-01-13,2023-09-25
2020-0010-PAK,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,GLIDE:CW-2020-000003|GLIDE:CW-2020-000027,,PAK,Pakistan,Southern Asia,Asia,"Mastung, Qila Abdullah, Kech, Ziarat, Harnai, and Pishin districts (Balochistan); Rajanpur District (Punjab Province); Azad Jammu and Kashmir, Khyber Pakhtunkhwa, Gilgit-Baltistan",,"Slide (land, mud, snow, rock)|Snow/ice",No,No,Yes,,,Kph,,,,2020,1,11,2020,1,13,107,104,1000000,,1000104,,,,,,,84.93919813,"[{""adm1_code"":2273,""adm1_name"":""Federally Administered Tribal Areas""},{""adm1_code"":2275,""adm1_name"":""North-West Frontier""},{""adm1_code"":40408,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40409,""adm1_name"":""Administrative unit not available""},{""adm2_code"":40298,""adm2_name"":""Kech District""},{""adm2_code"":40301,""adm2_name"":""Killa Abdullah District""},{""adm2_code"":40306,""adm2_name"":""Mastung District""},{""adm2_code"":40310,""adm2_name"":""Pishin District""},{""adm2_code"":40312,""adm2_name"":""Sibi District""},{""adm2_code"":40314,""adm2_name"":""Ziarat District""},{""adm2_code"":23673,""adm2_name"":""Rajanpur District""}]",2020-01-13,2023-09-25
2020-0011-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Missouri, Arkansas, Louisiana, Mississippi, Alabama, Tennessee, Kentucky, Georgia states",,Flood,No,No,No,,,Kph,,,,2020,1,10,2020,1,12,10,,,,,,,,,1200000,1412775,84.93919813,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2020-01-13,2023-09-25
2020-0014-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Samarinda City (East Kalimantan Province, Borneo Island)",Heavy rains,,No,No,No,,,Km2,,,,2020,1,14,2020,1,15,,,7213,,7213,,,,,,,84.93919813,"[{""adm2_code"":18131,""adm2_name"":""Kota Samarinda""}]",2020-01-16,2024-04-12
2020-0015-FJI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Tino',FJI,Fiji,Melanesia,Oceania,Viti Levu Island,,,No,No,No,,155,Kph,,,,2020,1,17,2020,1,18,2,,3115,,3115,,,,,,,84.93919813,"[{""adm1_code"":40187,""adm1_name"":""Central""},{""adm1_code"":40190,""adm1_name"":""Western""}]",2020-01-20,2023-09-25
2020-0015-TUV,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Tino',TUV,Tuvalu,Polynesia,Oceania,,,,No,No,Yes,,,Kph,,,,2020,1,18,2020,1,18,,,5500,,5500,,,,,,,84.93919813,"[{""adm1_code"":3103,""adm1_name"":""Administrative unit not available""}]",2020-02-03,2023-09-25
2020-0016-MDG,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2020-000008,,MDG,Madagascar,Sub-Saharan Africa,Africa,"Andapa Municipality; Amparafaravola, Ambatondrazaka (Alaotra Mangoro); Tana V, Tana IV, Tana II, Tana I, Tana III (Analamanga); Maevatanana, Tsaratanana (Betsiboka); Mitsinjo, Ambato Boeny, Marovoay,Majunga I, Majunga II (Boeny); Ambanja, Ambilobe (Diana); Besalampy (Melaky); Port Berger, Mampikomy (Sofia)",Heavy rains caused by tropical storm,"Slide (land, mud, snow, rock)",No,No,Yes,,443085.58,Km2,-18.95,47.184,,2020,1,1,2020,1,24,40,,106846,,106846,,,,,,,84.93919813,"[{""adm2_code"":154509,""adm2_name"":""Ambatondrazaka""},{""adm2_code"":154510,""adm2_name"":""Amparafaravola""},{""adm2_code"":123870,""adm2_name"":""Antananarivo I""},{""adm2_code"":123871,""adm2_name"":""Antananarivo II""},{""adm2_code"":123872,""adm2_name"":""Antananarivo III""},{""adm2_code"":123873,""adm2_name"":""Antananarivo IV""},{""adm2_code"":123874,""adm2_name"":""Antananarivo V""},{""adm2_code"":123875,""adm2_name"":""Antananarivo VI""},{""adm2_code"":154560,""adm2_name"":""Maevatanana""},{""adm2_code"":154561,""adm2_name"":""Tsaratanana""},{""adm2_code"":154562,""adm2_name"":""Ambato Boeni""},{""adm2_code"":154563,""adm2_name"":""Mahajanga I""},{""adm2_code"":154564,""adm2_name"":""Mahajanga II""},{""adm2_code"":154565,""adm2_name"":""Marovoay""},{""adm2_code"":154566,""adm2_name"":""Mitsinjo""},{""adm2_code"":154570,""adm2_name"":""Ambanja""},{""adm2_code"":154571,""adm2_name"":""Ambilobe""},{""adm2_code"":154587,""adm2_name"":""Besalampy""},{""adm2_code"":154595,""adm2_name"":""Andapa""},{""adm2_code"":154603,""adm2_name"":""Mampikony""},{""adm2_code"":154605,""adm2_name"":""Port-Berge (Boriziny-Vaovao)""}]",2020-01-22,2023-09-25
2020-0017-IRN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FF-2020-000006,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Iranshahr, Chabahar, Khash, Delgan, Zahedan, Sarbaz, Saravan, Sib and Sooran, fonooj, Kenarak, Mehrestan, Zahak, Mirjaveh, Nikshar Hirmand districts (Sistan and Baluchistan); Hormozgan, Kerman",Heavy rains,,No,No,No,,,Km2,,,,2020,1,9,2020,1,22,4,12,196140,,196152,,,,,808000,951269,84.93919813,"[{""adm1_code"":1548,""adm1_name"":""Hormozgan""},{""adm1_code"":1550,""adm1_name"":""Kerman""},{""adm1_code"":1559,""adm1_name"":""Sistan-o baluchestan""}]",2020-01-22,2023-09-25
2020-0018-IDN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IDN,Indonesia,South-eastern Asia,Asia,"Kaur Regency (western Bengkulu Province, Sumatra Isl.)",,Collapse,No,No,No,,,Km2,,,,2020,1,19,2020,1,22,10,,,,,,,,,,,84.93919813,"[{""adm2_code"":73692,""adm2_name"":""Kaur""}]",2020-01-22,2023-09-25
2020-0019-AUS,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,AUS,Australia,Australia and New Zealand,Oceania,"New South Wales , Victoria States",,"Flood|Slide (land, mud, snow, rock)",No,No,Yes,,,Kph,,,,2020,1,19,2020,1,21,,,,,,,,1000000,1177313,1500000,1765969,84.93919813,"[{""adm1_code"":470,""adm1_name"":""New South Wales""},{""adm1_code"":476,""adm1_name"":""Victoria""}]",2020-01-22,2023-09-25
2020-0020-ESP,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,DFO:4862,'Gloria',ESP,Spain,Southern Europe,Europe,"Gandia, Moixent Municipalities (Valencia Province); Avila Province; Asturias Region; Alicante; Almería provinces, Balearic Islands, Girona province, Catalonia, Aragón Murcia,eastern Andalusia",,,No,No,No,,100,Kph,,,,2020,1,19,2020,1,21,17,,2000,,2000,,,84000,98894,315000,370854,84.93919813,"[{""adm1_code"":2717,""adm1_name"":""Aragón""},{""adm1_code"":2719,""adm1_name"":""Illes Balears""},{""adm1_code"":2724,""adm1_name"":""Cataluña/Catalunya""},{""adm1_code"":2731,""adm1_name"":""Región de Murcia""},{""adm2_code"":25776,""adm2_name"":""Almería""},{""adm2_code"":25779,""adm2_name"":""Granada""},{""adm2_code"":25781,""adm2_name"":""Jaén""},{""adm2_code"":25787,""adm2_name"":""Asturias""},{""adm2_code"":25792,""adm2_name"":""Ávila""},{""adm2_code"":25811,""adm2_name"":""Alicante/Alacant""},{""adm2_code"":25813,""adm2_name"":""Valencia/València""}]",2020-01-22,2023-09-25
2020-0020-FRA,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,DFO:4862,'Gloria',FRA,France,Western Europe,Europe,"Pyrénées-Orientales, Aude, Ariège, and Haute-Garonne departments",,,No,No,No,,,Kph,,,,2020,1,21,2020,1,22,,,,,,,,,,,,84.93919813,"[{""adm2_code"":16289,""adm2_name"":""Pyrenees-Orientales""},{""adm2_code"":16290,""adm2_name"":""Aude""},{""adm2_code"":16298,""adm2_name"":""Ariege""},{""adm2_code"":16301,""adm2_name"":""Haute-Garonne""}]",2020-01-23,2023-09-25
2020-0022-BRA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BRA,Brazil,Latin America and the Caribbean,Americas,"Alfredo Chaves, Iconha Municipalities (Espirito Santo State); Minas Gerais state; Rio de Janeiro",Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,Yes,,115219.89,Km2,-19.398,-45.901,,2020,1,17,2020,1,27,61,12,11000,,11012,,,,,300000,353194,84.93919813,"[{""adm1_code"":677,""adm1_name"":""Minas Gerais""},{""adm1_code"":683,""adm1_name"":""Rio De Janeiro""},{""adm2_code"":7136,""adm2_name"":""Alfredo Chaves""},{""adm2_code"":7163,""adm2_name"":""Iconha""}]",2020-01-22,2023-09-25
2020-0030-MNG,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,GLIDE:CW-2020-000004|GLIDE:CW-2020-000016,,MNG,Mongolia,Eastern Asia,Asia,"Bayankhongor, Bulgan, Govi-Altai, Dornogovi, Dornod, Zavkhan, Uvurkhangai, Sukhbaatar, Selenge, Tuv, Uvs, Khovd, Khuvsgul, Khentii, Dundgobi, Arkhangai, Darkhan-Uul",,Cold wave,No,No,No,,,Kph,,,,2020,1,,2020,1,,,,22000,,22000,,,,,,,84.93919813,"[{""adm1_code"":2075,""adm1_name"":""Arxangai""},{""adm1_code"":2077,""adm1_name"":""Bayanxongor""},{""adm1_code"":2078,""adm1_name"":""Bulgan""},{""adm1_code"":2079,""adm1_name"":""Darxan-Uul""},{""adm1_code"":2081,""adm1_name"":""Dornod""},{""adm1_code"":2082,""adm1_name"":""Dornogovi""},{""adm1_code"":2083,""adm1_name"":""Dundgovi""},{""adm1_code"":2085,""adm1_name"":""Govi-Altai""},{""adm1_code"":2086,""adm1_name"":""Xentii""},{""adm1_code"":2087,""adm1_name"":""Xovd""},{""adm1_code"":2088,""adm1_name"":""Xo'vsgol""},{""adm1_code"":2091,""adm1_name"":""O'vorxangai""},{""adm1_code"":2092,""adm1_name"":""Selenge""},{""adm1_code"":2093,""adm1_name"":""Su'xbaatar""},{""adm1_code"":2094,""adm1_name"":""To'v""},{""adm1_code"":2097,""adm1_name"":""Zavxan""}]",2020-01-23,2023-09-25
2020-0031-ZMB,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4842,,ZMB,Zambia,Sub-Saharan Africa,Africa,"Gwembe, Siavonga, Mambwe and Lumezi districts",Heavy rains,,No,No,No,,,Km2,,,,2020,1,,2020,1,,,,1500,,1500,,,,,,,84.93919813,"[{""adm2_code"":65194,""adm2_name"":""Lundazi""},{""adm2_code"":65195,""adm2_name"":""Mambwe""},{""adm2_code"":65229,""adm2_name"":""Gwembe""},{""adm2_code"":65237,""adm2_name"":""Siavonga""}]",2020-01-23,2024-04-12
2020-0032-PER,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,PER,Peru,Latin America and the Caribbean,Americas,Uchumayo (Arequipa); Monzón (Huanuco Department),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,1,23,2020,1,24,,,240,,240,,,,,,,84.93919813,"[{""adm2_code"":24039,""adm2_name"":""Arequipa""},{""adm2_code"":24095,""adm2_name"":""Huamalíes""}]",2020-01-24,2024-04-12
2020-0033-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Sumedang Regency, Bandung District (West Java); Bojonegoro Regency (East Java)",,,No,No,No,,,Km2,,,,2020,1,23,2020,1,28,10,,75000,,75000,,,,,,,84.93919813,"[{""adm2_code"":18067,""adm2_name"":""Bojonegoro""},{""adm2_code"":18015,""adm2_name"":""Kota Bandung""},{""adm2_code"":18027,""adm2_name"":""Sumedang""},{""adm2_code"":73636,""adm2_name"":""Bandung""}]",2020-01-27,2023-09-25
2020-0034-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TUR,Türkiye,Western Asia,Asia,Sivrice District (Elazig province); Malatya Provinces),,,No,No,No,,6.7,Moment Magnitude,38.39,44.367,39.081,2020,1,24,2020,1,24,41,1607,69000,,70607,,,,,340000,400286,84.93919813,"[{""adm1_code"":3071,""adm1_name"":""Malatya""},{""adm2_code"":27770,""adm2_name"":""Sivrice""}]",2020-01-27,2023-09-25
2020-0036-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,Central Tapanuli Regency (North Sumatra Province),Heavy rains,,No,No,Yes,,,Km2,,,,2020,1,28,2020,1,29,9,22,2100,,2122,,,,,,,84.93919813,"[{""adm2_code"":73865,""adm2_name"":""Tapanuli Tengah""}]",2020-01-29,2024-04-12
2020-0037-TZA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2020-000007,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Iringa, Pawaga Idodi (central), Lindi (south-eastern),Ruvuma, Mtwara, Liwale, Ruangwa regions",Heavy rains,,No,No,No,,,Km2,,,,2020,1,27,2020,2,3,29,,28258,,28258,,,,,,,84.93919813,"[{""adm1_code"":48364,""adm1_name"":""Lindi""},{""adm1_code"":48369,""adm1_name"":""Mtwara""},{""adm1_code"":48375,""adm1_name"":""Ruvuma""},{""adm1_code"":115003,""adm1_name"":""Iringa""}]",2020-01-29,2023-09-25
2020-0039-NGA,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,GLIDE:EP-2020-000028,Lassa fever,NGA,Nigeria,Sub-Saharan Africa,Africa,"Ondo, Edo, Ebonyi, Enugu, Kano, Borno, Nasarawa, Kogi, Rivers, Abia, Adamawa, Benue, Kaduna, Delta, Taraba, Plateau, Bauchi, Osun, Ogun states",,,No,No,No,,,Vaccinated,,,,2020,1,1,2020,2,17,47,365,,,365,,,,,,,84.93919813,,2020-01-29,2023-09-25
2020-0041-RWA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,RWA,Rwanda,Sub-Saharan Africa,Africa,"Kigali Province, southern provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,2,2,2020,2,4,19,8,,490,498,,,,,,,84.93919813,"[{""adm1_code"":21970,""adm1_name"":""Kigali City/Umujyi wa Kigali""},{""adm1_code"":21972,""adm1_name"":""South/Amajyepfo""}]",2020-02-04,2023-09-25
2020-0043-NZL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NZL,New Zealand,Australia and New Zealand,Oceania,Gore district (Southland); Clutha District (Otago),Hevay rains,,No,No,Yes,,,Km2,,,Matura,2020,2,1,2020,2,5,,,2400,,2400,,,,,29000,34142,84.93919813,"[{""adm1_code"":2178,""adm1_name"":""Otago""},{""adm1_code"":2179,""adm1_name"":""Southland""}]",2020-02-05,2023-09-25
2020-0044-TUR,No,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,TUR,Türkiye,Western Asia,Asia,Bahçesaray and Çatak districts (Van province),,,No,No,No,,,,,,,2020,2,4,2020,2,5,41,84,,,84,,,,,,,84.93919813,"[{""adm2_code"":28335,""adm2_name"":""Bahcesaray""},{""adm2_code"":28338,""adm2_name"":""Catak""}]",2020-02-05,2023-09-25
2020-0045-PSE,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2020-000026,,PSE,State of Palestine,Western Asia,Asia,West Bank and Gaza Strip,,Flood|Storm,No,No,No,,0,°C,,,,2020,1,18,2020,2,5,3,,30000,,30000,,,,,,,84.93919813,"[{""adm1_code"":1291,""adm1_name"":""Deir al Balah""},{""adm1_code"":1292,""adm1_name"":""Gaza""},{""adm1_code"":1293,""adm1_name"":""Jabalya""},{""adm1_code"":1294,""adm1_name"":""Khan Yunis""},{""adm1_code"":1295,""adm1_name"":""Rafah""},{""adm1_code"":3394,""adm1_name"":""Al Khalil (Hebron)""},{""adm1_code"":3395,""adm1_name"":""Al Quds (Jerusalem)""},{""adm1_code"":3396,""adm1_name"":""Ariha (Jericho)""},{""adm1_code"":3397,""adm1_name"":""Bethlehem""},{""adm1_code"":3398,""adm1_name"":""Jenin""},{""adm1_code"":3399,""adm1_name"":""Nablus""},{""adm1_code"":3400,""adm1_name"":""Qalqiliya""},{""adm1_code"":3401,""adm1_name"":""Ramallah""},{""adm1_code"":3402,""adm1_name"":""Salfit""},{""adm1_code"":3403,""adm1_name"":""Tubas""},{""adm1_code"":3404,""adm1_name"":""Tulkarm""},{""adm1_code"":68765,""adm1_name"":""Administrative unit not available""},{""adm1_code"":68766,""adm1_name"":""Administrative unit not available""}]",2020-02-05,2023-09-25
2020-0046-MWI,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,MWI,Malawi,Sub-Saharan Africa,Africa,Karonga District,Heavy rains,,No,No,No,,,Km2,,,North Rukuru River,2020,2,4,2020,2,6,1,,2250,,2250,,,,,,,84.93919813,"[{""adm2_code"":19317,""adm2_name"":""Karonga""}]",2020-02-06,2024-04-12
2020-0047-PNG,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,PNG,Papua New Guinea,Melanesia,Oceania,Mul-Baiyer District (Western Highlinds Province),,,No,No,No,,,Km2,,,Kuma River,2020,2,5,2020,2,6,7,,200,,200,,,,,,,84.93919813,"[{""adm2_code"":37564,""adm2_name"":""Hagen North""}]",2020-02-06,2024-04-12
2020-0050-ZAF,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,ZAF,South Africa,Sub-Saharan Africa,Africa,Johannesburg and Gauteng Province,Heavy rains,,No,No,No,,,Km2,,,,2020,2,7,2020,2,10,3,,200,,200,,,,,,,84.93919813,"[{""adm1_code"":2708,""adm1_name"":""Gauteng""}]",2020-02-10,2024-04-12
2020-0051-BEL,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Ciara' (Sabine),BEL,Belgium,Western Europe,Europe,,,,No,No,No,,,Kph,,,,2020,2,9,2020,2,9,,,,,,,,,,,,84.93919813,"[{""adm1_code"":600,""adm1_name"":""Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes""},{""adm1_code"":601,""adm1_name"":""Vlaams Gewest""},{""adm1_code"":602,""adm1_name"":""Region wallonne""}]",2020-02-10,2023-09-25
2020-0051-CZE,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Ciara' (Sabine),CZE,Czechia,Eastern Europe,Europe,"Prague; Vyso?ina (Centre), Plze? (Bohême de l’Ouest)",,,No,No,No,,,Kph,,,,2020,2,7,2020,2,8,1,5,,,5,,,,,,,84.93919813,"[{""adm1_code"":1031,""adm1_name"":""Jihomoravsky""},{""adm1_code"":1032,""adm1_name"":""Praha""},{""adm1_code"":1036,""adm1_name"":""Vychodocesky""},{""adm1_code"":1037,""adm1_name"":""Zapadocesky""}]",2020-02-12,2023-09-25
2020-0051-DEU,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Ciara' (Sabine),DEU,Germany,Western Europe,Europe,"Kiel, Kölln, Frankfurt, Sarrebruck, Paderborn",,,No,No,No,,,Kph,,,,2020,2,9,2020,2,9,,33,,,33,,,,,,,84.93919813,"[{""adm1_code"":1319,""adm1_name"":""Saarland""},{""adm1_code"":1322,""adm1_name"":""Schleswig-Holstein""},{""adm2_code"":16541,""adm2_name"":""Darmstadt""},{""adm2_code"":16550,""adm2_name"":""Detmold""},{""adm2_code"":16552,""adm2_name"":""Koeln""}]",2020-02-10,2023-09-25
