DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,"Lanao del Norte Province (Northern Mindanao Region); Davao de Oro and Davao del Norte provinces; Maguindanao (BARMM Region); Mimaropa Region; Cagayan Valley, Central Luzon, Calabarzon, Bicol, Western Visayas, Eastern Visayas, Zamboanga Peninsula, Soccsksargen, Caraga",Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,,,,2023,1,1,2023,1,29,52,11,2143347,,2143358,,,,,30371,30371,100,,2023-01-05,2024-03-05
2023-0006-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,Southwest Maluku and Tanimbar Islands Regencies (Maluku Province),,,No,No,No,,7.6,Moment Magnitude,-7.065,130.005,,2023,1,10,2023,1,10,1,11,4350,60,4421,,,,,,,100,"[{""adm1_code"":73615,""adm1_name"":""Maluku""}]",2023-01-18,2023-09-26
2023-0007-COL,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,COL,Colombia,Latin America and the Caribbean,Americas,"Rosas, Cauca municipality",Heavy rains,,No,No,No,,,,,,,2023,1,10,2023,1,10,,,700,,700,,,,,,,100,"[{""adm2_code"":13748,""adm2_name"":""Rosas""}]",2023-01-18,2023-09-26
2023-0012-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2023-000007,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Khoy, Firoraq (Azerbaïdjan province)",,,No,No,No,,5.7,Moment Magnitude,38.44,44.946,,2023,1,18,2023,1,18,,252,41426,,41678,,,,,50000,50000,100,,2023-01-19,2023-09-26
2023-0019-AFG,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,AFG,Afghanistan,Southern Asia,Asia,"Ghor, Baghlan, Sar-e-Pul, Faryab, Takhar, Kandahar, Nimroz and Badghis",,Intoxication,No,No,No,,-33,°C,,,,2023,1,9,2023,1,23,166,,,,,,,,,,,100,"[{""adm1_code"":273,""adm1_name"":""Badghis""},{""adm1_code"":274,""adm1_name"":""Baghlan""},{""adm1_code"":278,""adm1_name"":""Faryab""},{""adm1_code"":280,""adm1_name"":""Ghor""},{""adm1_code"":285,""adm1_name"":""Kandahar""},{""adm1_code"":293,""adm1_name"":""Nimroz""},{""adm1_code"":299,""adm1_name"":""Sar-e-Pul""},{""adm1_code"":300,""adm1_name"":""Takhar""}]",2023-01-23,2024-02-27
2023-0020-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Cheneso',MDG,Madagascar,Sub-Saharan Africa,Africa,Antalaha (Sava Region); Diana regon,,"Flood|Slide (land, mud, snow, rock)",No,No,No,,106,Kph,,,,2023,1,19,2023,1,23,53,,90870,,90870,,,,,20000,20000,100,"[{""adm1_code"":41762,""adm1_name"":""Diana""},{""adm2_code"":154596,""adm2_name"":""Antalaha""}]",2023-01-23,2023-09-26
2023-0021-CHN,No,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,CHN,China,Eastern Asia,Asia,"Nyingchi City (Nyingchi County, Autonomous Region of Tibet)",,,No,No,No,,,,,,,2023,1,17,2023,1,17,28,5,53,,58,,,,,,,100,,2023-01-23,2023-09-26
2023-0022-SRB,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,SRB,Serbia,Southern Europe,Europe,"Sjenica and Brodarevo Novi Pazar Municipality; Novi Pazar Municipality (Sumadija and Western Serbia Region, south-western Serbia)",Heavy rainfall and river overflow,,No,No,No,,,Km2,,,Trnavica River,2023,1,18,2023,1,20,2,,210,,210,,,,,,,100,,2023-01-23,2023-09-26
2023-0023-COL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,COL,Colombia,Latin America and the Caribbean,Americas,"Los Conquistadores, Medellín city (Antioquia Department); ",Heavy rains and strong winds,Storm,No,No,No,,,Km2,,,,2023,1,14,2023,1,14,2,23,15,,38,,,,,,,100,"[{""adm2_code"":13408,""adm2_name"":""Medellin""}]",2023-01-23,2024-06-26
2023-0028-BRA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BRA,Brazil,Latin America and the Caribbean,Americas,Rodeio Municipality (Santa Caterina State),,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,,,,2023,1,17,2023,1,18,5,,180,,180,,,,,10000,10000,100,"[{""adm2_code"":10907,""adm2_name"":""Rodeio""}]",2023-01-23,2023-09-26
2023-0032-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,Alabama and Georgia,,,No,No,Yes,,145,Kph,,,,2023,1,12,2023,1,12,11,49,,,49,,,,,770000,770000,100,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3224,""adm1_name"":""Georgia""}]",2023-01-23,2024-01-24
2023-0038-AUS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AUS,Australia,Australia and New Zealand,Oceania,Kimberley region (Western Australia),Heavy rains,,No,No,No,,,Km2,,,,2023,1,6,2023,1,10,,,363,114,477,,,,,,,100,"[{""adm2_code"":5472,""adm2_name"":""Derby-West Kimberley (S)""},{""adm2_code"":5569,""adm2_name"":""Wyndham-East Kimberley (S)""}]",2023-01-23,2023-09-26
2023-0041-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,Aceh and West Sumatra Provinces,Torrential rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,1,20,2023,1,27,,,100000,,100000,,,,,,,100,,2023-01-27,2024-01-23
2023-0041-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,"Johor, Pahang, and Sabah States",Torrential rains,,No,No,No,,,Km2,,,,2023,1,20,2023,1,27,,,11000,,11000,,,,,,,100,,2023-01-27,2024-01-23
2023-0044-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,Manado City area (North Sulawesi Province),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Tondanao River,2023,1,27,2023,1,30,,,16700,,16700,,,,,,,100,,2023-01-30,2023-09-26
2023-0046-NZL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NZL,New Zealand,Australia and New Zealand,Oceania,"Kelston, Albany, Randwick Park, Mangere, Wellsford, Warkworth and Kumeu Region (Auckland)",Heavy rains,,No,No,Yes,,,Km2,,,,2023,1,27,2023,2,2,4,,3786,1614,5400,,,1300000,1300000,1900000,1900000,100,,2023-01-30,2023-09-26
2023-0047-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Firouragh district, Khoy county (West Azerbaijan)",,,No,No,No,,5.9,Moment Magnitude,38.424,44.909,,2023,1,28,2023,1,28,3,1017,261387,,262404,,,,,255000,255000,100,"[{""adm2_code"":41005,""adm2_name"":""Khoy""}]",2023-01-30,2023-10-25
2023-0050-CHL,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,CHL,Chile,Latin America and the Caribbean,Americas,"Bío Bío, Araucanía, Ñuble, Maule, Los Ríos, Los Lagos, Aysén, O’Higgins, Valparaíso, and Santiago Metropolitan",Strong winds and high temperatures,Heat wave,No,No,No,,,Km2,,,,2023,2,1,2023,3,6,26,3034,7500,,10534,,,,,900000,900000,100,"[{""adm1_code"":884,""adm1_name"":""Araucania""},{""adm1_code"":892,""adm1_name"":""Maule""},{""adm1_code"":91501,""adm1_name"":""Los Lagos""},{""adm1_code"":91504,""adm1_name"":""Los Rios""},{""adm1_code"":149630,""adm1_name"":""Valparaiso""},{""adm2_code"":12947,""adm2_name"":""Ñuble""},{""adm2_code"":12971,""adm2_name"":""Santiago""}]",2023-02-06,2024-01-29
2023-0052-CAN,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,CAN,Canada,Northern America,Americas,,,,No,No,No,,-50,°C,,,,2023,1,30,2023,2,5,2,,,,,,,,,165000,165000,100,,2023-02-06,2023-09-26
2023-0052-USA,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,USA,United States of America,Northern America,Americas,"Texas, Arkansas, Louisiana, Oklahoma, Tennessee. Mississippi",,Cold wave|Transport accident,No,No,No,,-50,°C,,,,2023,1,30,2023,2,1,10,25,,,25,,,,,385000,385000,100,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2023-02-06,2024-01-26
2023-0054-SYR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2023-000015,,SYR,Syrian Arab Republic,Western Asia,Asia,"Aleppo, Lattakia, Hama; Harim (Idlib); Tartous; Atmeh, Sarmada, Atareb, and Kafr Takharim",,,No,No,Yes,,7.8,Moment Magnitude,38.055,36.51,,2023,2,6,2023,2,6,5900,8700,8800000,,8808700,14800000,14800000,,,8900000,8900000,100,"[{""adm1_code"":2834,""adm1_name"":""Aleppo""},{""adm1_code"":2840,""adm1_name"":""Hama""},{""adm1_code"":2844,""adm1_name"":""Lattakia""},{""adm1_code"":2846,""adm1_name"":""Tartous""},{""adm2_code"":26364,""adm2_name"":""Harim""}]",2023-02-06,2024-02-26
2023-0054-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2023-000015,,TUR,Türkiye,Western Asia,Asia,"Gaziantep; Pazarcik District (Kahramanmaras); Sanliurfa, Diyarbakir, Adana, Adiyaman, Osmaniye, Hatay, Kilis, Elazig, Malatya ",,Fire,No,Yes,Yes,,7.8,Moment Magnitude,38.055,36.51,,2023,2,6,2023,2,6,53000,107000,16000000,,16107000,100000000,100000000,,,34000000,34000000,100,"[{""adm1_code"":3017,""adm1_name"":""Adana""},{""adm1_code"":3018,""adm1_name"":""Adiyaman""},{""adm1_code"":3042,""adm1_name"":""Diyarbakir""},{""adm1_code"":3044,""adm1_name"":""Elazig""},{""adm1_code"":3048,""adm1_name"":""Gaziantep""},{""adm1_code"":3052,""adm1_name"":""Hatay""},{""adm1_code"":3064,""adm1_name"":""Kilis""},{""adm1_code"":3071,""adm1_name"":""Malatya""},{""adm1_code"":3079,""adm1_name"":""Osmaniye""},{""adm1_code"":3083,""adm1_name"":""Sanliurfa""},{""adm2_code"":27957,""adm2_name"":""Pazarcik""}]",2023-02-06,2024-07-17
2023-0055-BOL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Guanay, Mapiri, Chuquisaca, Tipuani municipalities (La Paz); Santa Cruz, Cochabamba, Potosi, Beni Departments",Heavy rains,,No,No,No,,,Km2,,,"Mapiri, and Guanay Rivers",2023,1,,2023,3,16,5,,188610,,188610,,,,,,,100,"[{""adm1_code"":40443,""adm1_name"":""Beni""},{""adm1_code"":40444,""adm1_name"":""Chuquisaca""},{""adm1_code"":40445,""adm1_name"":""Cochabamba""},{""adm1_code"":40448,""adm1_name"":""Potosi""},{""adm1_code"":40449,""adm1_name"":""Santa Cruz""},{""adm2_code"":40482,""adm2_name"":""Gualberto Villarroel""}]",2023-02-06,2023-09-26
2023-0056-ZMB,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ZMB,Zambia,Sub-Saharan Africa,Africa,"Kalomo, Namwala, and Choma Districts in the Southern Province",Heavy rain,Lightening,No,No,No,,,Km2,,,"Luangwa, Mkushi Rivers",2023,1,11,2023,1,30,,,22000,,22000,,,,,,,100,"[{""adm2_code"":65228,""adm2_name"":""Choma""},{""adm2_code"":65231,""adm2_name"":""Kalomo""},{""adm2_code"":65236,""adm2_name"":""Namwala""}]",2023-02-06,2023-09-26
2023-0066-PER,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,PER,Peru,Latin America and the Caribbean,Americas,Camaná Province (Arequipa Department),Heavy rains,Flood,No,No,Yes,,,,,,,2023,2,5,2023,2,7,38,27,6300,,6327,,,,,,,100,"[{""adm2_code"":24040,""adm2_name"":""Camaná""}]",2023-02-07,2023-09-26
2023-0068-ZMB,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,GLIDE:EP-2023-000013,Cholera,ZMB,Zambia,Sub-Saharan Africa,Africa,"Chikoma, Mbande, Mzigawa, Chipanji, Mlawe, Eastern, Luapula, Lusaka, Southern",,,No,No,No,,,,,,,2023,1,21,2023,1,30,2,118,,,118,,,,,,,100,,2023-02-07,2023-09-26
2023-0073-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,Papua,,Collapse,No,No,No,,5.1,Moment Magnitude,,,,2023,2,9,2023,2,9,4,,2136,,2136,,,,,,,100,,2023-02-09,2023-09-26
2023-0075-AUT,No,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,AUT,Austria,Western Europe,Europe,,,,No,No,No,,,,,,,2023,2,4,2023,2,5,8,,,,,,,,,,,100,,2023-02-10,2023-09-26
2023-0075-CHE,No,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,CHE,Switzerland,Western Europe,Europe,,,,No,No,No,,,,,,,2023,2,4,2023,2,5,2,,,,,,,,,,,100,,2023-02-10,2023-09-26
2023-0075-ITA,No,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,ITA,Italy,Southern Europe,Europe,,,,No,No,No,,,,,,,2023,2,4,2023,2,5,1,,,,,,,,,,,100,,2023-02-10,2023-09-26
2023-0078-MOZ,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2023-000018,,MOZ,Mozambique,Sub-Saharan Africa,Africa,"Boane, Magude, and Moamba Districts (Maputo Province)",Heavy rains,,No,No,No,,,Km2,,,"Maputo, Goba, Magude, Megaruma, Mutarara, and Congerenge",2023,2,7,2023,2,12,14,3,89090,,89093,,,,,,,100,"[{""adm2_code"":21882,""adm2_name"":""Boane""},{""adm2_code"":21883,""adm2_name"":""Magude""},{""adm2_code"":21887,""adm2_name"":""Moamba""}]",2023-02-13,2023-09-26
2023-0079-NZL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Gabrielle',NZL,New Zealand,Australia and New Zealand,Oceania,"Northland, Auckland, Tairawhiti, Bay of Plenty, Waikato, and Hawkes Bay",,"Flood|Slide (land, mud, snow, rock)",No,No,Yes,,140,Kph,,,,2023,2,11,2023,2,17,11,,10500,,10500,,,1900000,1900000,2800000,2800000,100,,2023-02-13,2024-01-16
2023-0080-ZAF,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ZAF,South Africa,Sub-Saharan Africa,Africa,"Mpumalanga, the Eastern Cape, Gauteng, KwaZulu-Natal, Limpopo, the Northern Cape, and North West",Heavy rains,,No,No,Yes,,,Km2,,,,2023,2,8,2023,2,21,17,,1000,,1000,,,,,,,100,"[{""adm1_code"":2708,""adm1_name"":""Gauteng""},{""adm1_code"":77310,""adm1_name"":""Eastern Cape""},{""adm1_code"":77311,""adm1_name"":""KwaZulu-Natal""},{""adm1_code"":77312,""adm1_name"":""Limpopo""},{""adm1_code"":77313,""adm1_name"":""Mpumalanga""},{""adm1_code"":77314,""adm1_name"":""North West""},{""adm1_code"":77315,""adm1_name"":""Northern Cape""}]",2023-02-14,2023-10-25
2023-0087-GNQ,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,GLIDE:EP-2023-000027,Marburg disease,GNQ,Equatorial Guinea,Sub-Saharan Africa,Africa,Kie Ntem (Nsok Nsomo province),,,No,No,Yes,,,Vaccinated,,,,2023,2,13,2023,2,17,10,16,,,16,,,,,,,100,,2023-02-17,2023-09-26
2023-0091-SYR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,SYR,Syrian Arab Republic,Western Asia,Asia,,,,No,No,No,,6.3,Moment Magnitude,36.159,36.034,,2023,2,20,2023,2,20,,470,,,470,,,,,,,100,,2023-02-21,2023-09-26
2023-0091-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TUR,Türkiye,Western Asia,Asia,"Defne District (Hatay Province, southern Türkiye)",,,No,No,No,,6.3,Moment Magnitude,36.159,36.034,,2023,2,20,2023,2,20,6,294,,,294,,,,,,,100,,2023-02-21,2023-09-26
2023-0092-BRA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BRA,Brazil,Latin America and the Caribbean,Americas,Sao Sebastiao City and one in Ubatuba City (Sao Paulo state),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,2,19,2023,2,21,67,25,4000,,4025,,,,,30000,30000,100,"[{""adm1_code"":689,""adm1_name"":""Sao Paulo""}]",2023-02-21,2024-01-26
2023-0094-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,"Bicol, Western Visayas, Eastern Visayas, Zamboanga Peninsula, Davao Region, Soccsksargen and Caraga",Low-pressure area,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,2,13,2023,2,20,15,,32764,,32764,,,,,5000,5000,100,"[{""adm1_code"":2361,""adm1_name"":""Region V (Bicol region)""},{""adm1_code"":2362,""adm1_name"":""Region VI (Western Visayas)""},{""adm1_code"":2364,""adm1_name"":""Region VIII (Eastern Visayas)""},{""adm1_code"":2368,""adm1_name"":""Region XIII (Caraga)""},{""adm1_code"":67159,""adm1_name"":""Region IX (Zamboanga Peninsula)""},{""adm1_code"":67161,""adm1_name"":""Region XI (Davao Region)""},{""adm1_code"":67162,""adm1_name"":""Region XII (Soccsksargen)""}]",2023-02-21,2023-09-26
2023-0095-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Freddy',MDG,Madagascar,Sub-Saharan Africa,Africa,"Vatovavy, Fitovinany, Atsimo Atsinanana, Amoron’I Mania, Analamanga, Itasy, Alaotra-Mangoro, Menabe, Atsinanana",,,No,No,No,,165,Kph,,,,2023,2,21,2023,3,4,17,,299000,,299000,,,,,,,100,"[{""adm1_code"":41750,""adm1_name"":""Alaotra Mangoro""},{""adm1_code"":41751,""adm1_name"":""Amoron I Mania""},{""adm1_code"":41752,""adm1_name"":""Analamanga""},{""adm1_code"":41757,""adm1_name"":""Atsimo Atsinanana""},{""adm1_code"":41758,""adm1_name"":""Atsinanana""},{""adm1_code"":41765,""adm1_name"":""Itasy""},{""adm1_code"":41767,""adm1_name"":""Menabe""},{""adm1_code"":41771,""adm1_name"":""Vatovavy Fitovinany""}]",2023-02-22,2024-04-04
2023-0095-MOZ,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Freddy',MOZ,Mozambique,Sub-Saharan Africa,Africa,"Niassa, Maputo, Inhambane, Gaza, Manica, Tete, Zambezia, Sofala Provinces ",,,No,No,No,,95,Kph,,,,2023,2,24,2023,3,11,183,698,1230691,,1231389,,,,,,,100,,2023-02-28,2024-04-19
2023-0095-MUS,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Freddy',MUS,Mauritius,Sub-Saharan Africa,Africa,,,,No,No,No,,,Kph,,,,2023,2,21,2023,2,22,1,,2500,,2500,,,,,,,100,,2023-02-22,2023-09-26
2023-0095-MWI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Freddy',MWI,Malawi,Sub-Saharan Africa,Africa,"Balaka, Blantyre City, Blantyre, Chikwawa, Chiradzulu, Machinga, Mangochi, Mulanje, Neno, Nsanje, Phalombe, Thyolo, Zomba City, Zomb, Mwanza Distriicts ",,"Flood|Slide (land, mud, snow, rock)",No,Yes,Yes,,,Kph,,,,2023,3,11,2023,3,13,1209,2186,2267458,,2269644,680400,680400,,,506710,506710,100,"[{""adm2_code"":19321,""adm2_name"":""Blantyre""},{""adm2_code"":19322,""adm2_name"":""Chikwawa""},{""adm2_code"":19323,""adm2_name"":""Chiradzulu""},{""adm2_code"":19325,""adm2_name"":""Mangochi""},{""adm2_code"":19328,""adm2_name"":""Nsanje""},{""adm2_code"":19329,""adm2_name"":""Thyolo""},{""adm2_code"":19330,""adm2_name"":""Zomba""},{""adm2_code"":42174,""adm2_name"":""Balaka""},{""adm2_code"":42175,""adm2_name"":""Machinga""},{""adm2_code"":42176,""adm2_name"":""Mulanje""},{""adm2_code"":42177,""adm2_name"":""Phalombe""},{""adm2_code"":65270,""adm2_name"":""Neno""},{""adm2_code"":65271,""adm2_name"":""Mwanza""}]",2023-03-16,2024-02-23
2023-0095-REU,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Freddy',REU,Réunion,Sub-Saharan Africa,Africa,,,"Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2023,2,21,2023,2,21,,,25000,,25000,,,,,,,100,,2023-02-22,2023-09-26
2023-0095-ZWE,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Freddy',ZWE,Zimbabwe,Sub-Saharan Africa,Africa,,,,No,No,No,,,Kph,,,,2023,2,24,2023,3,8,2,,,,,,,,,,,100,,2023-03-06,2023-09-26
2023-0098-NAM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2023-000021,,NAM,Namibia,Sub-Saharan Africa,Africa,"Ohangwena, Oshana",,,No,No,No,,,Km2,,,,2023,1,13,2023,1,17,,,2190,,2190,,,,,,,100,"[{""adm1_code"":2144,""adm1_name"":""Ohangwena""},{""adm1_code"":2147,""adm1_name"":""Oshana""}]",2023-02-22,2023-09-26
2023-0102-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Davao City (Davao del Norte); Davao Oriental (Dava Region); Maguidanao del Sur Province (BARMM Region),Heavy rains,,No,No,No,,,Km2,,,,2023,2,20,2023,2,24,2,,215000,,215000,,,,,5000,5000,100,,2023-02-24,2023-09-26
2023-0107-SYR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,SYR,Syrian Arab Republic,Western Asia,Asia,Northwest,,,No,No,No,,5.2,Moment Magnitude,,,,2023,2,27,2023,2,27,,150,,,150,,,,,,,100,,2023-02-28,2023-09-26
2023-0107-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TUR,Türkiye,Western Asia,Asia,Yesilyurt District (Malatya province),,,No,No,No,,5.2,Moment Magnitude,,,,2023,2,27,2023,2,27,1,110,,90,200,,,,,,,100,"[{""adm2_code"":28106,""adm2_name"":""Yesilyurt""}]",2023-02-28,2023-09-26
2023-0110-ZMB,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,ZMB,Zambia,Sub-Saharan Africa,Africa,"Namwala, Monze and Mazabuka districts; Lusaka province",Heavy rains,,No,No,No,,,Km2,,,,2023,2,7,2023,3,9,,,154608,,154608,,,,,,,100,"[{""adm1_code"":3430,""adm1_name"":""Lusaka""},{""adm2_code"":65234,""adm2_name"":""Mazabuka""},{""adm2_code"":65235,""adm2_name"":""Monze""},{""adm2_code"":65236,""adm2_name"":""Namwala""}]",2023-02-28,2023-09-26
2023-0111-LBN,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,LBN,Lebanon,Western Asia,Asia,"Bekaa Valley, Beirut, Mount Lebanon",,,No,No,No,,,°C,,,,2023,1,,2023,2,28,,,1024200,,1024200,,,,,,,100,"[{""adm1_code"":1797,""adm1_name"":""Bekaa""},{""adm1_code"":1798,""adm1_name"":""Beirut""},{""adm1_code"":1801,""adm1_name"":""Mount Lebanon""}]",2023-02-28,2023-09-26
2023-0116-PRY,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2023-000041,,PRY,Paraguay,Latin America and the Caribbean,Americas,"San Lazaro, Horqueta, Sargento Felix Lopez, Paso Horqueta and Paso Barreto (Concepción); Alto Paraguay, Amambay San Pedro departments",Heavy rains,,No,No,Yes,,,Km2,,,,2023,2,17,2023,3,3,,,39000,,39000,,,,,,,100,"[{""adm1_code"":2311,""adm1_name"":""Alto Paraguay""},{""adm1_code"":2313,""adm1_name"":""Amambay""},{""adm1_code"":2327,""adm1_name"":""San Pedro""},{""adm2_code"":23870,""adm2_name"":""Horqueta""},{""adm2_code"":23873,""adm2_name"":""San Lazaro""}]",2023-03-06,2023-11-03
2023-0119-VUT,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Judy',VUT,Vanuatu,Melanesia,Oceania,Shefa and Tafea Provinces,,,No,No,No,,,Kph,,,,2023,2,28,2023,3,3,,,251346,,251346,,,,,,,100,"[{""adm1_code"":3299,""adm1_name"":""Shefa""},{""adm1_code"":3300,""adm1_name"":""Tafea""}]",2023-03-06,2023-09-26
2023-0120-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,"Johor, Pahang, Malacca, and Negeri Sembilan",Heavy rains,,No,No,No,,,Km2,,,,2023,2,28,2023,3,2,4,,46630,,46630,,,,,,,100,,2023-03-06,2023-09-26
2023-0122-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Mississippi, Kentucky, Arkansas, Alabama, Tennessee, Louisiana, Indiana and Ohio",,,No,No,No,,,Kph,,,,2023,3,1,2023,3,3,13,,,,,,,4200000,4200000,6000000,6000000,100,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2023-03-15,2024-01-17
